"StkSeq","Basin","LifeHistory","LHAZ","LHAZShort","LHAZSeq","Watershed","Stock","StkNmS","StartYr","SpnAddCV","CtCV","Notes","NumSpn","NumRec","NumSR","ContrX","NumObsX","LgSpnX","LgRecX","SmSpnX","SmRecX","LgExpX","ContrVal","NumObsVal","LgSpnVal","LgRecVal","SmSpnVal","SmRecVal","LgExpVal","OddSpn","OddRec","OddProd","OddExp"
1,"Nass","Sea/River","Nass Sea/River Type","Nass SRT",1,"Lower Nass Tribs","Lower Nass Sea & River Type","LNassSRT",2000,0.1,0.3,"",20,16,16,"-","-","-","-","-","-","-",74.71,16,1.23,1,1,1,2.72,1,0,1,0
2,"Nass","Lake","Upper Nass Lake Type","U Nass LT",2,"Meziadin","Meziadin","Meziadin",1990,0,0.2,"",30,24,24,"-","-","-","-","-","-","-",6.72,24,1,1,0.84,1,1,0,0,0,0
3,"Nass","Lake","Upper Nass Lake Type","U Nass LT",2,"Bell-Irving","Bowser","Bowser",1990,0.1,0.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Nass","Lake","Upper Nass Lake Type","U Nass LT",2,"Bell-Irving","Oweegee","Oweege",1990,0.1,0.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Nass","Lake","Upper Nass Lake Type","U Nass LT",2,"Kwinageese","Kwinageese","Kwinag",1990,0.1,0.3,"",27,13,13,"X","-","-","-","-","-","-",412.44,13,1.41,1,1,1,1,3,0,4,0
6,"Nass","Lake","Upper Nass Lake Type","U Nass LT",2,"Damdochax","Damdochax","Damdoch",1990,0.1,0.3,"",29,21,21,"-","-","-","-","-","-","-",17.71,21,1,1,1,1,1,0,0,1,0
7,"Nass","River","Nass River Type","Nass RT",3,"Upper Nass Tribs","Upper Nass River Type","UNassRT",1990,0.1,0.3,"",17,11,11,"X","-","-","-","-","-","-",1301,11,1.72,1,0.5,1,1,3,0,3,0
8,"Skeena","Lake","Lower Skeena Lake Type","L Skeena LT",4,"Ecstall","Johnston","Johnston",1980,0.1,0.3,"",17,2,2,"-","X","-","-","X","-","-",48.72,2,1.67,1,0.28,1,2.01,0,0,0,0
9,"Skeena","Lake","Lower Skeena Lake Type","L Skeena LT",4,"Ecstall","Ecstall","Ecstall",1990,0.1,0.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Skeena","Lake","Lower Skeena Lake Type","L Skeena LT",4,"Gitnadoix","Alastair","Alastair",1990,0.1,0.3,"",30,24,24,"-","-","-","-","-","-","-",80.36,24,1,1,1,1,2.22,1,0,3,0
