StkSeq,Basin,Watershed,Group,Stock,StkNmS,Category,Notes
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Key Points,"Babine Late-Wild, which is part of the Babine stock complex, is the largest wild sockeye stock in the Skeena basin. These fish spawn in sections of Babine River between Babine and Nilkitkwa Lake, and downstream of Nilkitkwa Lake, and rear in Nilkitkwa Lake and the North Arm of Babine Lake. Babine LW fry exhibit a characteristic upstream migration pattern into their rearing lakes, and early-migrating smolts. All Babine sockeye have a lake-type life history with mostly 1-year old smolts and a variable proportion of age-4 and age-5 (total age) adult returns."
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,SR Estimation,"Long time series of good-quality estimates for both spawners and recruits with high contrast in the spawner estimates, both for the whole time series and for the more recent data since the early 1990s."
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Productivity,"Observed productivity of Babine Late Wild, in terms of recruits/spawner without correcting for density dependence,  is highly variable between years but has generally declined in recent years. It is positively correlated with Babine Mid Wild as well as channel-enhanced Pinkut and Fulton"
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Capacity Information,The most recent estimate for lake capacity for Babine Lake which includes all Babine wild and enhanced stocks is from 2002. More recent surveys were completed in 2013 and 2015 but results are not yet available.****CCH expand with productivity assessment
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Juvenile Information,"Smolt abundance estimates are available for Babine Lake sockeye for 1950-2002, and 2013-2019. Babine LW fry, which rear in Nilkitkwa Lake and the North Arm of Babine Lake close to the lake outlet, form the earliest contingent of seaward migrating smolts from Babine Lake, which has a bimodal distribution. Recent hydroacoustic fry surveys were conducted for Babine Lake in 2013 and 2015, and in the North Arm and Nilkitkwa Lake in xxxx xxxx and xxxx to assess the abundance of Babine LW fry. "
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Data Issues,Spawner estimates and data are generally considered to be of high quality. Escapement estimates for Babine LW are expanded using methods described in Wood et al. (1998). 
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Sensitivity Tests,"Estimates of Smsy based on a simple deterministic Ricker fit were highly sensitive to choices regarding which brood years to include in the analysis, especially whether to include or exclude earlier data, and were also strongly affected by alternative age composition assumptions . ADD: include comment on Bootstrap and prelim Bayesian test as well"
19,Skeena,Babine,1,Babine Late Wild,Bab-LW,Model Considerations,TEXT
2,Nass,Meziadin,1,Meziadin,Meziadin,Key Points,"Meziadin is the largest sockeye stock in the Nass basin and includes several distinctive timing groups and ecotypes, including an earlier timed group of tributary stream spawners, and a later timed group of lakeshore spawners.  Meziadin sockeye have a lake-type life history with a mixture of one and two year old smolts and a total age ranging from four to seven years. A full census count and biosampling for Meziadin sockeye has taken place at the fishway bypassing Meziadin falls near the lake outlet since the mid-1960s. "
2,Nass,Meziadin,1,Meziadin,Meziadin,SR Estimation,
2,Nass,Meziadin,1,Meziadin,Meziadin,Productivity,TEXT
2,Nass,Meziadin,1,Meziadin,Meziadin,Capacity Information,TEXT
2,Nass,Meziadin,1,Meziadin,Meziadin,Juvenile Information,TEXT
2,Nass,Meziadin,1,Meziadin,Meziadin,Data Issues,Nothing major?
2,Nass,Meziadin,1,Meziadin,Meziadin,Sensitivity Tests,TEXT
2,Nass,Meziadin,1,Meziadin,Meziadin,Model Considerations,TEXT
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Key Points,"The Lower Nass Sea and River Type stock is the portion of a larger CU (Lower Nass-Portland) River Type that spawns in the Nass catchment. This stock consists primarily of sea-type sockeye which migrate to sea in the first year after emergence, and return to spawn as three, four or five-year old adults. The Lower Nass SRT also includes some true-river type sockeye which spend a year in freshwater riverine habitats prior to the seaward migration and return mainly at age four or five. In recent years, the abundance and proportion of sea-type sockeye within the Nass aggregate has increased substantially. "
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,SR Estimation,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Productivity,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Capacity Information,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Juvenile Information,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Data Issues,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Sensitivity Tests,Text
1,Nass,Lower Nass Tribs,1,Lower Nass Sea & River Type,LNassSRT,Model Considerations,Text
21,Skeena,Babine,1,Pinkut,Pinkut,Key Points,"Pinkut is the third-largest sockeye stock in the Skeena basin, and part of the Babine stock complex. Pinkut Creek has been enhanced with an active spawning channel that was built in 1968 and active management of spawning densities in stream sections below the spawning channel. Additionally, an airlift operation was conducted in some years of high escapement between 1973 and 2007 to seed an inaccessible section of Pinkut Creek upstream of the spawning channel. All Babine sockeye have a lake-type life history with mostly 1-year old smolts and a variable proportion of age-4 and age-5 (total age) adult returns."
21,Skeena,Babine,1,Pinkut,Pinkut,SR Estimation,"Long time series of good-quality estimates for both spawners (two fence counts) and recruits (major component of aggregate, good age data). Pinkut has been actively managed to a channel loading target, so there is very low contrast in the spawner estimates."
21,Skeena,Babine,1,Pinkut,Pinkut,Productivity,TEXT
21,Skeena,Babine,1,Pinkut,Pinkut,Capacity Information,TEXT
21,Skeena,Babine,1,Pinkut,Pinkut,Juvenile Information,TEXT
21,Skeena,Babine,1,Pinkut,Pinkut,Data Issues,Nothing major?
21,Skeena,Babine,1,Pinkut,Pinkut,Sensitivity Tests,TEXT
21,Skeena,Babine,1,Pinkut,Pinkut,Model Considerations,"Low Contrast in spawner data, because Pinkut is managed to the spawning channel loading target of 128,000.  Any escapement above channel target plus 5,000 estimated below-channel capacity is considered ""biological surplus"" and does not directly contribute to recruitment.  We consider it inappropriate to fit a density-dependent SR relationship to the resulting data. The issues illustrated for the Skeena Aggregate model fits apply here as well, but we do not include corresponding explorations for Pinkut in this paper. We do, however, include a brief description of the channel loading target, and identify potential future work to update the channel target."
22,Skeena,Babine,1,Fulton,Fulton,Key Points,"Fulton is the largest sockeye stock in the Skeena basin. It has been enhanced with two active spawning channels built in 1965 and 1971. The Fulton stock includes spawners in the spawning channels, actively managed sections upstream of the spawning channels, and spawners below the channels. It is a part of the Babine stock complex, which has a lake-type life history. All Babine sockeye have a lake-type life history with mostly 1-year old smolts and a variable proportion of age-4 and age-5 (total age) adult returns."
22,Skeena,Babine,1,Fulton,Fulton,SR Estimation,"Long time series of good-quality estimates for both spawners (two fence counts) and recruits (major component of aggregate, good age data). Fulton has been actively managed to a channel loading target, so there is very low contrast in the spawner estimates."
22,Skeena,Babine,1,Fulton,Fulton,Productivity,TEXT
22,Skeena,Babine,1,Fulton,Fulton,Capacity Information,TEXT
22,Skeena,Babine,1,Fulton,Fulton,Juvenile Information,TEXT
22,Skeena,Babine,1,Fulton,Fulton,Data Issues,Nothing major?
22,Skeena,Babine,1,Fulton,Fulton,Sensitivity Tests,TEXT
22,Skeena,Babine,1,Fulton,Fulton,Model Considerations,"Low Contrast in spawner data, because Fulton is managed to the combined loading target of 381,000 for two spawning channels.  Any escapement above channel target plus 45,000 estimated below-channel capacity is considered ""biological surplus"" and does not directly contribute to recruitment.  We consider it inappropriate to fit a density-dependent SR relationship to the resulting data. The issues illustrated for the Skeena Aggregate model fits apply here as well, but we do not include corresponding explorations for Fulton in this paper. We do, however, include a brief description of the channel loading targets, and identify potential future work to update the channel target."
3,Nass,Bell-Irving,3,Bowser,Bowser,Key Points,"Bower Lake sockeye have historically been considered the second largest sockeye stock in the Nass basin, however this stock is considered data deficient because there area no recent escapement data available for this system. Visual escapement estimates for Bowser sockeye are challenged by extreme glacial turbidity and a predominantly lakeshore-spawning ecotype. Abundance estimates developed using alternative methods including proportional abundances of the terminal Nass run developed using discriminant scale pattern analyses and GSI require further review but suggest that in recent decades, Bowser sockeye escapements have ranged between 3000 and 15,000 and may covary with other Upper Nass lake type sockeye stocks such as Damdochax sockeye. The life history of Bowser Lake sockeye typically includes one or two years rearing in freshwater and 2-3 years at sea, with total ages ranging from 5 – 7 years. Fall fry abundance and PR-capacity estimates for Bowser sockeye were conducted in 2009. "
